Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Купить iphone», по месяцам, 01.04.2022 — 31.03.2024, Россия, все устройства
апрель 2022;420 213;0,0037;
май 2022;467 812;0,0041;
июнь 2022;448 165;0,0044;
июль 2022;493 360;0,0050;
август 2022;470 740;0,0046;
сентябрь 2022;639 184;0,0058;
октябрь 2022;451 783;0,0039;
ноябрь 2022;402 291;0,0034;
декабрь 2022;418 363;0,0035;
январь 2023;342 129;0,0029;
февраль 2023;273 745;0,0025;
март 2023;314 470;0,0027;
апрель 2023;256 733;0,0023;
май 2023;256 264;0,0024;
июнь 2023;271 246;0,0028;
июль 2023;300 320;0,0032;
август 2023;320 561;0,0034;
сентябрь 2023;475 876;0,0047;
октябрь 2023;463 550;0,0041;
ноябрь 2023;379 927;0,0034;
декабрь 2023;386 362;0,0034;
январь 2024;339 776;0,0030;
февраль 2024;362 956;0,0032;
март 2024;310 026;0,0025;
