Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Купить ноутбук», по месяцам, 01.04.2022 — 31.03.2024, Россия, все устройства
апрель 2022;814 826;0,0072;
май 2022;761 051;0,0068;
июнь 2022;640 464;0,0063;
июль 2022;700 525;0,0072;
август 2022;826 786;0,0082;
сентябрь 2022;731 396;0,0066;
октябрь 2022;695 631;0,0060;
ноябрь 2022;707 525;0,0060;
декабрь 2022;690 591;0,0058;
январь 2023;666 963;0,0058;
февраль 2023;590 759;0,0055;
март 2023;593 389;0,0051;
апрель 2023;475 578;0,0044;
май 2023;431 425;0,0040;
июнь 2023;436 889;0,0045;
июль 2023;501 174;0,0053;
август 2023;613 994;0,0065;
сентябрь 2023;625 589;0,0062;
октябрь 2023;703 103;0,0063;
ноябрь 2023;625 855;0,0057;
декабрь 2023;584 924;0,0052;
январь 2024;593 717;0,0052;
февраль 2024;587 652;0,0053;
март 2024;520 873;0;
