Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Купить смартфон», по месяцам, 01.04.2022 — 31.03.2024, Россия, все устройства
апрель 2022;894 537;0,0079;
май 2022;884 357;0,0079;
июнь 2022;809 542;0,0080;
июль 2022;848 780;0,0087;
август 2022;948 233;0,0094;
сентябрь 2022;875 495;0,0080;
октябрь 2022;706 852;0,0061;
ноябрь 2022;749 699;0,0063;
декабрь 2022;717 684;0,0061;
январь 2023;578 629;0,0050;
февраль 2023;520 831;0,0049;
март 2023;590 025;0,0050;
апрель 2023;498 905;0,0046;
май 2023;503 955;0,0047;
июнь 2023;537 729;0,0056;
июль 2023;647 341;0,0069;
август 2023;767 604;0,0082;
сентябрь 2023;716 696;0,0071;
октябрь 2023;798 945;0,0071;
ноябрь 2023;849 447;0,0077;
декабрь 2023;825 351;0,0074;
январь 2024;670 732;0,0059;
февраль 2024;707 804;0,0063;
март 2024;658 475;0;
