"Время","Планшеты, Визиты","Планшеты, Доля","Десктоп, Визиты","Десктоп, Доля","Смартфоны, Визиты","Смартфоны, Доля"
"2015-04-01 - 2015-04-05","229566458","0.08550086835093546","2010686557","0.7488700575109829","444707529","0.16562907413808164"
"2015-04-06 - 2015-04-12","304522556","0.08145247090924222","2811817422","0.7520936372527869","622313406","0.16645389183797094"
"2015-04-13 - 2015-04-19","305912809","0.08135046030927263","2829825002","0.752526732240847","624693388","0.16612280744988042"
"2015-04-20 - 2015-04-26","304134349","0.08103506221391593","2826838921","0.7531969624120094","622147178","0.16576797537407464"
"2015-04-27 - 2015-05-03","275179607","0.0833392928220731","2458361397","0.744525012447829","568378147","0.17213569473009788"
"2015-05-04 - 2015-05-10","276968086","0.08335476572609822","2466772079","0.7423859250871426","579022290","0.1742593091867592"
"2015-05-11 - 2015-05-17","297871347","0.08398267953921675","2623327192","0.739628195565414","625620265","0.1763891248953692"
"2015-05-18 - 2015-05-24","287643004","0.08028964097845663","2673849567","0.7463502285104481","621074252","0.17336013051109528"
"2015-05-25 - 2015-05-31","274759499","0.0793318717977117","2597126794","0.7498737281654819","591532542","0.1707944000368064"
"2015-06-01 - 2015-06-07","272069637","0.07938910600481333","2560960415","0.7472805863322621","594009887","0.17333030766292454"
"2015-06-08 - 2015-06-14","264092684","0.08161478534284643","2394706451","0.7400562938634624","577044504","0.17832892079369103"
"2015-06-15 - 2015-06-21","274386931","0.0802916408193326","2535064374","0.7418154991175372","607927244","0.1778928600631302"
"2015-06-22 - 2015-06-28","264994255","0.08059580054117044","2436282240","0.74097499765433","586664728","0.17842920180449956"
"2015-06-29 - 2015-07-05","262422772","0.080739223066681","2397889123","0.737754971931571","589939495","0.18150580500174787"
"2015-07-06 - 2015-07-12","268977784","0.08195166812811103","2411411903","0.7347046475586722","601761734","0.18334368431321682"
"2015-07-13 - 2015-07-19","264966831","0.08171724603359914","2378672177","0.7335957439940318","598844603","0.18468700997236898"
"2015-07-20 - 2015-07-26","263655027","0.08183743970261252","2357155770","0.7316514894177996","600881230","0.18651107087958782"
"2015-07-27 - 2015-08-02","267040652","0.08204755177766884","2375935043","0.729999915746612","611730219","0.1879525324757191"
"2015-08-03 - 2015-08-09","262642664","0.08150297564240319","2346168132","0.7280602519146645","613680922","0.1904367724429323"
"2015-08-10 - 2015-08-16","264275307","0.08162794202317002","2350890870","0.7261305863856579","622393174","0.19224147159117208"
"2015-08-17 - 2015-08-23","267740741","0.0815500791585793","2382467540","0.7256662387430447","632936797","0.19278368209837604"
"2015-08-24 - 2015-08-30","277682830","0.0819272646647795","2458427928","0.725332119081837","653271655","0.1927406162533835"
"2015-08-31 - 2015-09-06","279736556","0.08163730855454304","2484664861","0.7251156402743724","662175977","0.19324705117108468"
"2015-09-07 - 2015-09-13","287074481","0.08138619571071942","2542923529","0.720923961223106","697313698","0.19768984306617451"
"2015-09-14 - 2015-09-20","286659709","0.08095352204417489","2552489147","0.7208302385780405","701891753","0.19821623937778454"
"2015-09-21 - 2015-09-27","292847686","0.08112831763288104","2595912874","0.7191521540284839","720924622","0.19971952833863504"
"2015-09-28 - 2015-10-04","304970057","0.08128349524979284","2703744924","0.7206275916019044","743215913","0.1980889131483028"
"2015-10-05 - 2015-10-11","309281931","0.08108551301708398","2751177558","0.7212857310164632","753809170","0.19762875596645277"
"2015-10-12 - 2015-10-18","312482027","0.08071509105146939","2791315786","0.7210056526559651","767622301","0.19827925629256568"
"2015-10-19 - 2015-10-25","320340724","0.08093098886272611","2848123127","0.7195507901483973","789732243","0.19951822098887656"
"2015-10-26 - 2015-11-01","318387815","0.08053815840796325","2845139420","0.7196955364033033","789726990","0.19976630518873345"
"2015-11-02 - 2015-11-08","327483824","0.0835399095248702","2799928133","0.7142512874375094","792676368","0.20220880303762034"
"2015-11-09 - 2015-11-15","326266570","0.08034181765103193","2923146642","0.7198129875175084","811567477","0.1998451948314596"
"2015-11-16 - 2015-11-22","327847845","0.08010414856795682","2940189290","0.7183861760752934","824732726","0.2015096753567498"
"2015-11-23 - 2015-11-29","337771365","0.08081287045116273","2987572866","0.7147862844544768","854328674","0.20440084509436032"
"2015-11-30 - 2015-12-06","336134387","0.08004912779929726","3012561554","0.7174300939326258","850405239","0.20252077826807688"
"2015-12-07 - 2015-12-13","331128492","0.07933767249419935","2991583711","0.7167770048078482","850948072","0.20388532269795245"
"2015-12-14 - 2015-12-20","326089968","0.07826576417324844","2979546116","0.715129186857335","860808484","0.20660504896941664"
"2015-12-21 - 2015-12-27","308108127","0.07767112550005027","2834598804","0.7145753719368018","824122763","0.20775350256314784"
"2015-12-28 - 2016-01-03","272961891","0.08362649546186778","2276325955","0.6973909854161264","714772061","0.2189825191220058"
"2016-01-04 - 2016-01-10","327842607","0.09432465870846224","2335988016","0.6720946809584692","811852316","0.23358066033306846"
"2016-01-11 - 2016-01-17","329563116","0.07813878550906991","3001888004","0.7117419137000938","886212539","0.21011930079083624"
"2016-01-18 - 2016-01-24","334646454","0.07761377011776935","3062171382","0.7102022533421498","914871359","0.21218397654008084"
"2016-01-25 - 2016-01-31","340552749","0.07781127879998011","3112627154","0.7111893825302306","923470298","0.21099933866978918"
"2016-02-01 - 2016-02-07","339020524","0.07789168618323072","3088134459","0.7095145666521623","925305987","0.212593747164607"
"2016-02-08 - 2016-02-14","333306296","0.07833031675068962","2987483138","0.7020884492589488","934348421","0.21958123399036153"
"2016-02-15 - 2016-02-21","324632561","0.07500106393909936","3076835642","0.7108527438063794","926904542","0.21414619225452128"
"2016-02-22 - 2016-02-28","335540538","0.0826746904507317","2804026178","0.690891174174306","918997473","0.2264341353749623"
"2016-02-29 - 2016-03-06","318863425","0.0766684850330387","2917026505","0.7013786637321912","923099580","0.22195285123477024"
"2016-03-07 - 2016-03-13","322395755","0.08117172236176469","2740794848","0.6900681383115949","908583626","0.22876013932664047"
"2016-03-14 - 2016-03-20","330210214","0.07694481403001355","2999625101","0.6989656460360297","961684759","0.22408953993395675"
"2016-03-21 - 2016-03-27","322847574","0.0759871944904504","2988182824","0.7033152723034286","937679877","0.220697533206121"
"2016-03-28 - 2016-04-03","318808856","0.07569989992053132","2957738866","0.7023033768775413","934935468","0.22199672320192737"
"2016-04-04 - 2016-04-10","308155499","0.07522005037771937","2855055930","0.696912602834345","933508760","0.22786734678793558"
"2016-04-11 - 2016-04-17","301518742","0.07458278695520618","2819294395","0.6973723485032711","921925869","0.22804486454152267"
"2016-04-18 - 2016-04-24","301029987","0.07455920648104584","2812758455","0.6966649419801905","923673881","0.2287758515387637"
"2016-04-25 - 2016-05-01","281788730","0.07390136050508057","2644866653","0.6936375489935984","886383079","0.23246109050132105"
"2016-05-02 - 2016-05-08","271321888","0.07869043785737698","2332024449","0.6763480319948175","844618821","0.2449615301478055"
"2016-05-09 - 2016-05-15","290892703","0.07665926893016481","2592356329","0.68316646976059","911369767","0.24017426130924516"
"2016-05-16 - 2016-05-22","292422552","0.07409198401786864","2721797066","0.689629932215193","932530572","0.23627808376693837"
"2016-05-23 - 2016-05-29","273953131","0.07290108952853924","2614440315","0.6957231946030846","869480857","0.23137571586837613"
"2016-05-30 - 2016-06-05","274186710","0.07324274207339004","2599235079","0.6943265210750169","870112413","0.23243073685159296"
"2016-06-06 - 2016-06-12","276065317","0.07413382878031467","2564111775","0.6885595965734397","883700678","0.23730657464624572"
"2016-06-13 - 2016-06-19","264744923","0.07683559696677882","2325117434","0.6748072221171734","855740117","0.24835718091604783"
"2016-06-20 - 2016-06-26","256157493","0.07404295538130645","2361373231","0.6825607587498698","842048809","0.2433962858688238"
"2016-06-27 - 2016-07-03","258403679","0.07403109328459871","2379905115","0.6818284409064417","852166188","0.24414046580895962"
"2016-07-04 - 2016-07-10","258745725","0.07547840744334934","2315594975","0.6754794538028496","853735405","0.24904213875380107"
"2016-07-11 - 2016-07-17","250551993","0.07512511143738161","2241314279","0.6720321118182828","843263463","0.25284277674433553"
"2016-07-18 - 2016-07-24","256905717","0.0758070374902496","2270612468","0.6700061271408146","861424656","0.2541868353689356"
"2016-07-25 - 2016-07-31","250475141","0.07452121556196456","2262869103","0.6732474749387302","847781029","0.2522313094993053"
"2016-08-01 - 2016-08-07","254497295","0.0753662190560806","2255557792","0.6679554792341562","866753491","0.2566783017097631"
"2016-08-08 - 2016-08-14","261330628","0.07577166747868881","2296965034","0.6659949202985237","890627091","0.25823341222278745"
"2016-08-15 - 2016-08-21","260370498","0.07519062636984312","2306774590","0.6661577546168002","895660192","0.2586516190133567"
"2016-08-22 - 2016-08-28","257984798","0.07437740020878084","2313795660","0.6670707233112247","896810771","0.2585518764799944"
"2016-08-29 - 2016-09-04","260150182","0.073486516513417","2368625500","0.669082895048102","911332005","0.25743058843848104"
"2016-09-05 - 2016-09-11","268531551","0.07342879193055636","2419167959","0.6615110218704978","969333977","0.2650601861989458"
"2016-09-12 - 2016-09-18","275176306","0.07344338337125596","2477381895","0.6612026700856053","994223243","0.2653539465431387"
"2016-09-19 - 2016-09-25","280767701","0.07355185876123893","2516099005","0.6591347864655337","1020408693","0.2673133547732274"
"2016-09-26 - 2016-10-02","277249120","0.07277998743173174","2513057381","0.659696537916516","1019107732","0.2675234746517523"
"2016-10-03 - 2016-10-09","283120046","0.0726570768365644","2564254983","0.6580645699964819","1049286636","0.26927835316695375"
"2016-10-10 - 2016-10-16","285845123","0.07205843570814795","2614864905","0.6591789031238251","1066141600","0.26876266116802694"
"2016-10-17 - 2016-10-23","289711000","0.07190114852273498","2658890819","0.6598896958784977","1080694040","0.26820915559876735"
"2016-10-24 - 2016-10-30","289573780","0.07141253287466343","2683622622","0.6618150604545945","1081747014","0.26677240667074203"
"2016-10-31 - 2016-11-06","290176358","0.07419393068085738","2562765714","0.6552624171256363","1058110427","0.2705436521935064"
"2016-11-07 - 2016-11-13","299784695","0.07159684698967918","2763452816","0.6599886909848752","1123883956","0.2684144620254457"
"2016-11-14 - 2016-11-20","303703710","0.07139612878453266","2804334930","0.659256542559995","1145745356","0.26934732865547223"
"2016-11-21 - 2016-11-27","304391325","0.07132135536899833","2805720058","0.6574029575992175","1157773368","0.2712756870317841"
"2016-11-28 - 2016-12-04","305416533","0.07110400068309786","2817743502","0.6559986583666789","1172189454","0.2728973409502232"
"2016-12-05 - 2016-12-11","304202206","0.07055333609133647","2829510706","0.6562457992643642","1177950049","0.2732008646442994"
"2016-12-12 - 2016-12-18","299698794","0.06983439007408507","2812987403","0.6554689692030911","1178878370","0.27469664072282385"
"2016-12-19 - 2016-12-25","298376852","0.0702953350190308","2770283335","0.6526578513921144","1175957922","0.2770468135888547"
"2016-12-26 - 2017-01-01","259459352","0.07120774965540959","2365261035","0.6491379645855857","1018975043","0.27965428575900486"
"2017-01-02 - 2017-01-08","295466108","0.08504431937847708","2085014465","0.6001318975989101","1093779791","0.3148237830226129"
"2017-01-09 - 2017-01-15","296058146","0.06960251380200384","2766850054","0.6504793793838393","1190647165","0.27991810681415685"
"2017-01-16 - 2017-01-22","298472666","0.06899330505923089","2801189634","0.6475076379266078","1226448266","0.2834990570141614"
"2017-01-23 - 2017-01-29","303252814","0.06907508912126524","2842146551","0.6473856704459852","1244791337","0.28353924043274964"
"2017-01-30 - 2017-02-05","307466129","0.06939056256083949","2863969050","0.6463554999787733","1259515049","0.28425393746038713"
"2017-02-06 - 2017-02-12","305212925","0.06845416368692464","2879109549","0.6457362064199405","1274324138","0.2858096298931349"
"2017-02-13 - 2017-02-19","299227134","0.0676468478405954","2861611727","0.6469300109502515","1262532568","0.285423141209153"
"2017-02-20 - 2017-02-26","294119414","0.07241972844109781","2568588293","0.6324521871107869","1198608461","0.2951280844481153"
"2017-02-27 - 2017-03-05","293814951","0.06756902112324341","2809207404","0.6460372209596908","1245345375","0.28639375791706556"
"2017-03-06 - 2017-03-12","285400303","0.0690961025504207","2637105392","0.6384495835727945","1207977682","0.2924543138767848"
"2017-03-13 - 2017-03-19","289711874","0.066216601236977","2820858714","0.6447360062666596","1264644518","0.28904739249636335"
"2017-03-20 - 2017-03-26","291788938","0.06659515313078736","2831675674","0.6462749287869011","1258069543","0.28712991808231153"
"2017-03-27 - 2017-04-02","293115337","0.06653460052623536","2854920272","0.6480417632727666","1257421622","0.285423636200998"
"2017-04-03 - 2017-04-09","291860438","0.06589535509911158","2826206230","0.6380921798971995","1311083726","0.29601246500368894"
"2017-04-10 - 2017-04-16","278370349","0.0649530813229131","2735909037","0.6383787742147561","1271434907","0.2966681444623308"
"2017-04-17 - 2017-04-23","280560895","0.06418445791358816","2808036071","0.6423998362955641","1282568642","0.29341570579084775"
"2017-04-24 - 2017-04-30","255517503","0.06290197125240009","2594563069","0.6387160553098273","1212073569","0.2983819734377726"
"2017-05-01 - 2017-05-07","251434328","0.06509947059340984","2411777997","0.6244392801985829","1199097548","0.3104612492080073"
"2017-05-08 - 2017-05-14","266376296","0.06728132469223916","2450502503","0.6189479208145748","1242262868","0.313770754493186"
"2017-05-15 - 2017-05-21","254286889","0.061471267080314716","2637307675","0.637542285803374","1245084263","0.3009864471163113"
"2017-05-22 - 2017-05-28","246104008","0.06078802014722561","2604707917","0.6433663499549104","1197749081","0.295845629897864"
"2017-05-29 - 2017-06-04","253596361","0.061163335589328065","2660878506","0.6417608059640411","1231740485","0.2970758584466309"
